month,cv,professions,regions,industries,vacancy,invitation,response,added
202211,data-20221123T065156-structure-20161130T143000.xml.gz,data-20221118T155626-structure-20161130T143000.xml.gz,data-20221118T155626-structure-20161130T143000.xml.gz,data-20221118T155626-structure-20161130T143000.xml.gz,data-20221127T171837-structure-20161130T143000.xml.gz,data-20221129T193216-structure-20161130T143000.xml.gz,data-20221129T193216-structure-20161130T143000.xml.gz,True
202210,data-20221031T012023-structure-20161130T143000.xml.gz,data-20221031T014717-structure-20161130T143000.xml.gz,data-20221031T014717-structure-20161130T143000.xml.gz,data-20221031T014717-structure-20161130T143000.xml.gz,data-20221029T101427-structure-20161130T143000.xml.gz,data-20221031T210802-structure-20161130T143000.xml.gz,data-20221031T210802-structure-20161130T143000.xml.gz,True
202209,data-20220930T074343-structure-20161130T143000.xml.gz,data-20220930T015346-structure-20161130T143000.xml.gz,data-20220930T015346-structure-20161130T143000.xml.gz,data-20220930T015346-structure-20161130T143000.xml.gz,data-20220930T180335-structure-20161130T143000.xml.gz,data-20220930T201822-structure-20161130T143000.xml.gz,data-20220930T201822-structure-20161130T143000.xml.gz,True
202208,data-20220831T085609-structure-20161130T143000.xml.gz,data-20220831T015320-structure-20161130T143000.xml.gz,data-20220831T015320-structure-20161130T143000.xml.gz,data-20220831T015320-structure-20161130T143000.xml.gz,data-20220828T050539-structure-20161130T143000.xml.gz,data-20220831T201243-structure-20161130T143000.xml.gz,data-20220831T201243-structure-20161130T143000.xml.gz,True
202207,data-20220731T015519-structure-20161130T143000.xml.gz,data-20220731T013906-structure-20161130T143000.xml.gz,data-20220731T013906-structure-20161130T143000.xml.gz,data-20220731T013906-structure-20161130T143000.xml.gz,data-20220730T135841-structure-20161130T143000.xml.gz,data-20220731T181406-structure-20161130T143000.xml.gz,data-20220731T181406-structure-20161130T143000.xml.gz,True
202206,data-20220630T165202-structure-20161130T143000.xml.gz,data-20220630T015057-structure-20161130T143000.xml.gz,data-20220630T015057-structure-20161130T143000.xml.gz,data-20220630T015057-structure-20161130T143000.xml.gz,data-20220625T223417-structure-20161130T143000.xml.gz,data-20220630T221410-structure-20161130T143000.xml.gz,data-20220630T221410-structure-20161130T143000.xml.gz,True
202205,data-20220531T173936-structure-20161130T143000.xml.gz,data-20220531T014745-structure-20161130T143000.xml.gz,data-20220531T014745-structure-20161130T143000.xml.gz,data-20220531T014745-structure-20161130T143000.xml.gz,data-20220529T193238-structure-20161130T143000.xml.gz,data-20220531T201845-structure-20161130T143000.xml.gz,data-20220531T201845-structure-20161130T143000.xml.gz,True
202204,data-20220430T220701-structure-20161130T143000.xml.gz,data-20220430T013258-structure-20161130T143000.xml.gz,data-20220430T013258-structure-20161130T143000.xml.gz,data-20220430T013258-structure-20161130T143000.xml.gz,data-20220430T184716-structure-20161130T143000.xml.gz,data-20220430T165552-structure-20161130T143000.xml.gz,data-20220430T165552-structure-20161130T143000.xml.gz,True
202203,data-20220329T023545-structure-20161130T143000.xml.gz,data-20220325T013050-structure-20161130T143000.xml.gz,data-20220325T013050-structure-20161130T143000.xml.gz,data-20220325T013050-structure-20161130T143000.xml.gz,data-20220331T220836-structure-20161130T143000.xml.gz,data-20220331T193221-structure-20161130T143000.xml.gz,data-20220331T193221-structure-20161130T143000.xml.gz,True
202202,data-20220227T170702-structure-20161130T143000.xml.gz,data-20220228T013249-structure-20161130T143000.xml.gz,data-20220228T013249-structure-20161130T143000.xml.gz,data-20220228T013249-structure-20161130T143000.xml.gz,data-20220228T221642-structure-20161130T143000.xml.gz,data-20220228T185621-structure-20161130T143000.xml.gz,data-20220228T185621-structure-20161130T143000.xml.gz,True
202201,data-20220125T000254-structure-20161130T143000.xml.gz,data-20220131T014110-structure-20161130T143000.xml.gz,data-20220131T014110-structure-20161130T143000.xml.gz,data-20220131T014110-structure-20161130T143000.xml.gz,data-20220131T234048-structure-20161130T143000.xml.gz,data-20220131T212405-structure-20161130T143000.xml.gz,data-20220131T212405-structure-20161130T143000.xml.gz,True
202112,data-20211231T193650-structure-20161130T143000.xml.gz,data-20211231T013937-structure-20161130T143000.xml.gz,data-20211231T013937-structure-20161130T143000.xml.gz,data-20211231T013937-structure-20161130T143000.xml.gz,data-20211231T185717-structure-20161130T143000.xml.gz,data-20211231T162349-structure-20161130T143000.xml.gz,data-20211231T162349-structure-20161130T143000.xml.gz,True
202111,data-20211130T201408-structure-20161130T143000.xml.gz,data-20211130T012359-structure-20161130T143000.xml.gz,data-20211130T012359-structure-20161130T143000.xml.gz,data-20211130T012359-structure-20161130T143000.xml.gz,data-20211130T233227-structure-20161130T143000.xml.gz,data-20211130T195045-structure-20161130T143000.xml.gz,data-20211130T195045-structure-20161130T143000.xml.gz,True
202110,data-20211031T195149-structure-20161130T143000.xml.gz,data-20211030T014448-structure-20161130T143000.xml.gz,data-20211030T014448-structure-20161130T143000.xml.gz,data-20211030T014448-structure-20161130T143000.xml.gz,data-20211031T215406-structure-20161130T143000.xml.gz,data-20211031T191117-structure-20161130T143000.xml.gz,data-20211031T191117-structure-20161130T143000.xml.gz,True
202109,data-20210930T232839-structure-20161130T143000.xml.gz,data-20210930T024018-structure-20161130T143000.xml.gz,data-20210930T024018-structure-20161130T143000.xml.gz,data-20210930T024018-structure-20161130T143000.xml.gz,data-20210930T161835-structure-20161130T143000.xml.gz,data-20210929T232802-structure-20161130T143000.xml.gz,data-20210929T232802-structure-20161130T143000.xml.gz,True
202108,data-20210831T034910-structure-20161130T143000.xml.gz,data-20210831T022715-structure-20161130T143000.xml.gz,data-20210831T022715-structure-20161130T143000.xml.gz,data-20210831T022715-structure-20161130T143000.xml.gz,data-20210831T220250-structure-20161130T143000.xml.gz,data-20210831T232557-structure-20161130T143000.xml.gz,data-20210831T232557-structure-20161130T143000.xml.gz,True
202107,data-20210731T233227-structure-20161130T143000.xml.gz,data-20210731T023837-structure-20161130T143000.xml.gz,data-20210731T023837-structure-20161130T143000.xml.gz,data-20210731T023837-structure-20161130T143000.xml.gz,data-20210731T214610-structure-20161130T143000.xml.gz,data-20210731T201953-structure-20161130T143000.xml.gz,data-20210731T201953-structure-20161130T143000.xml.gz,True
202106,data-20210626T195756-structure-20161130T143000.xml.gz,data-20210629T015339-structure-20161130T143000.xml.gz,data-20210629T015339-structure-20161130T143000.xml.gz,data-20210629T015339-structure-20161130T143000.xml.gz,,data-20210627T172227-structure-20161130T143000.xml.gz,data-20210627T172227-structure-20161130T143000.xml.gz,True
202105,data-20210530T152957-structure-20161130T143000.xml.gz,data-20210531T014722-structure-20161130T143000.xml.gz,data-20210531T014722-structure-20161130T143000.xml.gz,data-20210531T014722-structure-20161130T143000.xml.gz,,data-20210531T192114-structure-20161130T143000.xml.gz,data-20210531T192114-structure-20161130T143000.xml.gz,True
202104,data-20210430T225501-structure-20161130T143000.xml.gz,data-20210430T014351-structure-20161130T143000.xml.gz,data-20210430T014351-structure-20161130T143000.xml.gz,data-20210430T014351-structure-20161130T143000.xml.gz,data-20210425T080824-structure-20161130T143000.xml.gz,data-20210430T180001-structure-20161130T143000.xml.gz,data-20210430T180001-structure-20161130T143000.xml.gz,True
202103,data-20210331T004850-structure-20161130T143000.xml.gz,data-20210331T011504-structure-20161130T143000.xml.gz,data-20210331T011504-structure-20161130T143000.xml.gz,data-20210331T011504-structure-20161130T143000.xml.gz,data-20210331T070326-structure-20161130T143000.xml.gz,data-20210328T164318-structure-20161130T143000.xml.gz,data-20210328T164318-structure-20161130T143000.xml.gz,True
202102,data-20210228T170747-structure-20161130T143000.xml.gz,data-20210228T013222-structure-20161130T143000.xml.gz,data-20210228T013222-structure-20161130T143000.xml.gz,data-20210228T013222-structure-20161130T143000.xml.gz,data-20210228T065547-structure-20161130T143000.xml.gz,data-20210228T174710-structure-20161130T143000.xml.gz,data-20210228T174710-structure-20161130T143000.xml.gz,True
202101,data-20210123T013344-structure-20161130T143000.xml.gz,data-20210123T013344-structure-20161130T143000.xml.gz,data-20210123T013344-structure-20161130T143000.xml.gz,data-20210123T013344-structure-20161130T143000.xml.gz,data-20210123T060454-structure-20161130T143000.xml.gz,data-20210121T063947-structure-20161130T143000.xml.gz,data-20210121T063947-structure-20161130T143000.xml.gz,True
202012,data-20201230T170031-structure-20161130T143000.xml.gz,data-20201230T170031-structure-20161130T143000.xml.gz,data-20201230T170031-structure-20161130T143000.xml.gz,data-20201230T170031-structure-20161130T143000.xml.gz,data-20201230T170031-structure-20161130T143000.xml.gz,data-20201230T170031-structure-20161130T143000.xml.gz,data-20201230T170031-structure-20161130T143000.xml.gz,True
202011,data-20201129T212934-structure-20161130T143000.xml.gz,data-20201129T212934-structure-20161130T143000.xml.gz,data-20201129T212934-structure-20161130T143000.xml.gz,data-20201129T212934-structure-20161130T143000.xml.gz,data-20201129T212934-structure-20161130T143000.xml.gz,data-20201129T212934-structure-20161130T143000.xml.gz,data-20201129T212934-structure-20161130T143000.xml.gz,True
202010,data-20201031T192302-structure-20161130T143000.xml.gz,data-20201031T192302-structure-20161130T143000.xml.gz,data-20201031T192302-structure-20161130T143000.xml.gz,data-20201031T192302-structure-20161130T143000.xml.gz,data-20201031T192302-structure-20161130T143000.xml.gz,data-20201031T192302-structure-20161130T143000.xml.gz,data-20201031T192302-structure-20161130T143000.xml.gz,True
202009,data-20200930T003101-structure-20161130T143000.xml.gz,data-20200930T003101-structure-20161130T143000.xml.gz,data-20200930T003101-structure-20161130T143000.xml.gz,data-20200930T003101-structure-20161130T143000.xml.gz,data-20200930T003101-structure-20161130T143000.xml.gz,data-20200930T003101-structure-20161130T143000.xml.gz,data-20200930T003101-structure-20161130T143000.xml.gz,True
202008,data-20200831T203730-structure-20161130T143000.xml.gz,data-20200831T203730-structure-20161130T143000.xml.gz,data-20200831T203730-structure-20161130T143000.xml.gz,data-20200831T203730-structure-20161130T143000.xml.gz,data-20200831T203730-structure-20161130T143000.xml.gz,data-20200831T203730-structure-20161130T143000.xml.gz,data-20200831T203730-structure-20161130T143000.xml.gz,True
202007,data-20200731T204449-structure-20161130T143000.xml.gz,data-20200731T204449-structure-20161130T143000.xml.gz,data-20200731T204449-structure-20161130T143000.xml.gz,data-20200731T204449-structure-20161130T143000.xml.gz,data-20200731T204449-structure-20161130T143000.xml.gz,,,True
202006,data-20200630T203536-structure-20161130T143000.xml.gz,data-20200630T203536-structure-20161130T143000.xml.gz,data-20200630T203536-structure-20161130T143000.xml.gz,data-20200630T203536-structure-20161130T143000.xml.gz,data-20200630T203536-structure-20161130T143000.xml.gz,,,True
202005,data-20200531T122643-structure-20161130T143000.xml.gz,data-20200531T122643-structure-20161130T143000.xml.gz,data-20200531T122643-structure-20161130T143000.xml.gz,data-20200531T122643-structure-20161130T143000.xml.gz,data-20200531T122643-structure-20161130T143000.xml.gz,,,True
202004,data-20200429T114433-structure-20161130T143000.xml.gz,data-20200429T114433-structure-20161130T143000.xml.gz,data-20200429T114433-structure-20161130T143000.xml.gz,data-20200429T114433-structure-20161130T143000.xml.gz,data-20200429T114433-structure-20161130T143000.xml.gz,,,True
202003,data-20200331T061919-structure-20161130T143000.xml.gz,data-20200331T061919-structure-20161130T143000.xml.gz,data-20200331T061919-structure-20161130T143000.xml.gz,data-20200331T061919-structure-20161130T143000.xml.gz,data-20200331T061919-structure-20161130T143000.xml.gz,,,True
202002,data-20200229T074420-structure-20161130T143000.xml.gz,data-20200229T074420-structure-20161130T143000.xml.gz,data-20200229T074420-structure-20161130T143000.xml.gz,data-20200229T074420-structure-20161130T143000.xml.gz,data-20200229T074420-structure-20161130T143000.xml.gz,,,True
202001,data-20200131T082120-structure-20161130T143000.xml.gz,data-20200131T082120-structure-20161130T143000.xml.gz,data-20200131T082120-structure-20161130T143000.xml.gz,data-20200131T082120-structure-20161130T143000.xml.gz,data-20200131T082120-structure-20161130T143000.xml.gz,,,True
201912,data-20191230T055858-structure-20161130T143000.xml.gz,data-20191230T055858-structure-20161130T143000.xml.gz,data-20191230T055858-structure-20161130T143000.xml.gz,data-20191230T055858-structure-20161130T143000.xml.gz,data-20191230T055858-structure-20161130T143000.xml.gz,,,True
201911,data-20191130T054926-structure-20161130T143000.xml.gz,data-20191130T054926-structure-20161130T143000.xml.gz,data-20191130T054926-structure-20161130T143000.xml.gz,data-20191130T054926-structure-20161130T143000.xml.gz,data-20191130T054926-structure-20161130T143000.xml.gz,,,True
201910,data-20191030T061530-structure-20161130T143000.xml.gz,data-20191030T061530-structure-20161130T143000.xml.gz,data-20191030T061530-structure-20161130T143000.xml.gz,data-20191030T061530-structure-20161130T143000.xml.gz,data-20191030T061530-structure-20161130T143000.xml.gz,,,True
201909,data-20190930T071005-structure-20161130T143000.xml.gz,data-20190930T071005-structure-20161130T143000.xml.gz,data-20190930T071005-structure-20161130T143000.xml.gz,data-20190930T071005-structure-20161130T143000.xml.gz,data-20190930T071005-structure-20161130T143000.xml.gz,,,True
201908,data-20190831T051750-structure-20161130T143000.xml.gz,data-20190831T051750-structure-20161130T143000.xml.gz,data-20190831T051750-structure-20161130T143000.xml.gz,data-20190831T051750-structure-20161130T143000.xml.gz,data-20190831T051750-structure-20161130T143000.xml.gz,,,True
201907,data-20190731T045744-structure-20161130T143000.xml.gz,data-20190731T045744-structure-20161130T143000.xml.gz,data-20190731T045744-structure-20161130T143000.xml.gz,data-20190731T045744-structure-20161130T143000.xml.gz,data-20190731T045744-structure-20161130T143000.xml.gz,,,True
201906,data-20190630T040339-structure-20161130T143000.xml.gz,data-20190630T040339-structure-20161130T143000.xml.gz,data-20190630T040339-structure-20161130T143000.xml.gz,data-20190630T040339-structure-20161130T143000.xml.gz,data-20190630T040339-structure-20161130T143000.xml.gz,,,True
201905,data-20190531T035310-structure-20161130T143000.xml.gz,data-20190531T035310-structure-20161130T143000.xml.gz,data-20190531T035310-structure-20161130T143000.xml.gz,data-20190531T035310-structure-20161130T143000.xml.gz,data-20190531T035310-structure-20161130T143000.xml.gz,,,True
201904,data-20190430T034441-structure-20161130T143000.xml.gz,data-20190430T034441-structure-20161130T143000.xml.gz,data-20190430T034441-structure-20161130T143000.xml.gz,data-20190430T034441-structure-20161130T143000.xml.gz,data-20190430T034441-structure-20161130T143000.xml.gz,,,True
201903,data-20190331T033355-structure-20161130T143000.xml.gz,data-20190331T033355-structure-20161130T143000.xml.gz,data-20190331T033355-structure-20161130T143000.xml.gz,data-20190331T033355-structure-20161130T143000.xml.gz,data-20190331T033355-structure-20161130T143000.xml.gz,,,True
201902,data-20190228T034923-structure-20161130T143000.xml.gz,data-20190228T034923-structure-20161130T143000.xml.gz,data-20190228T034923-structure-20161130T143000.xml.gz,data-20190228T034923-structure-20161130T143000.xml.gz,data-20190228T034923-structure-20161130T143000.xml.gz,,,True
201901,data-20190131T033922-structure-20161130T143000.xml.gz,data-20190131T033922-structure-20161130T143000.xml.gz,data-20190131T033922-structure-20161130T143000.xml.gz,data-20190131T033922-structure-20161130T143000.xml.gz,data-20190131T033922-structure-20161130T143000.xml.gz,,,True
